	rsid	REGION	CHR_POS	P_VALUE	MAPPED_GENE
19607	rs1770	6p21.32	32660056	2e-232	HLA-DQB1, HLA-DQB1, HLA-DQB1, HLA-DQB1, HLA-DQB1, HLA-DQB1, HLA-DQB1-AS1, HLA-DQB1-AS1, HLA-DQB1-AS1, HLA-DQB1-AS1, HLA-DQB1-AS1, HLA-DQB1-AS1
19608	rs705699	12q13.2	55991020	7e-20	RAB5B
29103	rs2523989	6p22.1	30110498	2e-08	TRIM31, TRIM31, TRIM31, TRIM31, TRIM31, TRIM31, TRIM31, TRIM31-AS1, TRIM31-AS1, TRIM31-AS1, TRIM31-AS1, TRIM31-AS1, TRIM31-AS1, TRIM31-AS1
29104	rs886424	6p21.33	30814225	3e-14	LINC00243
29105	rs2251396	6p21.33	31396930	1e-22	HLA-S - MICA
29106	rs2857595	6p21.33	31600692	2.0000000000000002e-23	NCR3 - UQCRHP1
29107	rs1270942	6p21.33	31951083	5e-25	CFB, CFB, CFB, CFB, CFB, CFB
29108	rs1980493	6p21.32	32395438	2e-20	TSBP1-AS1, BTNL2, BTNL2, BTNL2, BTNL2
29109	rs1015166	6p21.32	32830954	4e-22	TAP2, TAP2, TAP2, TAP2, TAP2, TAP2
29110	rs2153977	1p13.2	113537449	4e-07	MAGI3
29112	rs2358994	1p13.2	113886839	2e-11	AP4B1-AS1, BCL2L15
29113	rs7679475	4q27	121392885	4e-10	QRFPR - TUBB4BP5
59982	rs73043122	6q27	166969779	4e-06	RNASET2 - MIR3939
59983	rs113306148	10q26.13	122400322	3e-06	PLEKHA1
59984	rs10831551	11p15.5	2217058	5e-06	MIR4686 - ASCL2
59985	rs428595	22q11.21	21662102	2e-06	MIR130B - PPIL2
59986	rs6679677	1p13.2	113761186	2e-06	PHTF1 - RSBN1
59987	rs3184504	12q24.12	111446804	4e-07	ATXN2, SH2B3
59991	rs11705721	3p14.3	58414687	9e-06	PXK
59992	rs28600853	1p36.32	2863195	6e-06	TTC34 - NA
59993	rs3842727	11p15.5	2163618	6e-06	INS - TH
59994	rs9934817	16p13.3	6086218	8e-06	RBFOX1
60089	rs2128344	21q21.1	20724226	8e-12	LINC00320
60090	rs60587303	2q24.3	168190122	3e-09	STK39
60091	rs192324744	2q22.2	141543366	2e-11	LRP1B
60092	rs34536443	19p13.2	10352442	2e-11	TYK2
90497	rs1970112	9p21.3	22085599	1e-08	CDKN2B-AS1
90498	rs181176493	2q36.1	223293148	2e-07	RN7SL807P - NA
90499	rs70962766	2p15	62179865	5e-07	COMMD1 - B3GNT2
90500	rs138181578	6p21.1	45758094	7e-07	RUNX2 - NA
90501	rs10625784	11q22.3	106323171	8e-07	
90502	rs79237700	15q21.3	53449415	2e-06	LINC02490 - WDR72
90503	rs574480779	5q33.2	155011321	9e-07	MRPL22 - KIF4B
90504	rs1344228	2q14.3	123529348	8e-06	
90505	rs6055069	20p13	153643	1e-06	DEFB126 - DEFB127
134998	rs4972593	2q31.1	173598126	4e-08	
147054	rs763361	18q22.2	69864406	1e-08	CD226
147055	rs1445898	5p13.2	35910427	8e-06	CAPSL
147060	rs6897932	5p13.2	35874473	8e-06	IL7R
147061	rs9653442	2q11.2	100208905	5e-06	LINC01104
147063	rs3741208	11p15.5	2148544	2e-07	INS-IGF2, IGF2-AS
147065	rs1004446	11p15.5	2148913	4e-09	INS-IGF2
147066	rs2903692	16p13.13	11144926	7e-11	CLEC16A
147067	rs2476601	1p13.2	113834946	1e-07	PTPN22
147068	rs2647044	6p21.32	32700133	1e-16	HLA-DQB1 - MTCO3P1
148071	rs425105	19q13.32	46705224	3e-11	PRKD2
148072	rs7221109	17q21.2	40614034	1e-09	CCR7 - SMARCE1
148073	rs2664170	Xq28	154717327	8e-09	GAB3
148074	rs12444268	16p12.3	20331250	2e-07	GP2 - UMOD
148077	rs7111341	11p15.5	2191936	4e-48	MIR4686 - ASCL2
148079	rs229541	22q12.3	37195278	2e-07	C1QTNF6
148080	rs10517086	4p15.2	26083889	5e-10	LINC02357
148081	rs7020673	9p24.2	4291747	5e-12	GLIS3
148082	rs1465788	14q24.1	68796882	2e-12	ZFP36L1 - MAGOH3P
148084	rs11258747	10p15.1	6430929	1e-07	PRKCQ
148087	rs3825932	15q25.1	78943104	8e-08	CTSH
148088	rs1893217	18p11.21	12809341	4e-15	PTPN2
148089	rs11203203	21q22.3	42416077	2e-09	UBASH3A
148091	rs9388489	6q22.32	126377573	4e-13	CENPW - NA
148092	rs4948088	7p12.1	50959497	4e-08	NA - COBL
148093	rs10509540	10q23.31	88263276	1.0000000000000001e-28	NA - RNLS
148094	rs4763879	12p13.31	9757568	2e-11	CD69
148095	rs4900384	14q32.2	98032614	4e-09	LINC01550 - NA
148096	rs7202877	16q23.1	75213347	3e-15	CTRB2 - CTRB1
148097	rs2281808	20p13	1629905	1e-11	SIRPG
148098	rs5753037	22q12.2	30185733	3e-16	HORMAD2 - LIF-AS1
148099	rs2269241	1p31.3	63643100	4e-07	PGM1
148100	rs1534422	2p24.3	12500615	2e-06	MIR3681HG
148101	rs9268645	6p21.32	32440750	1e-100	HLA-DRA, HLA-DRA, HLA-DRA, HLA-DRA, HLA-DRA
148103	rs1990760	2q24.2	162267541	7e-09	IFIH1
148104	rs4505848	4q27	122211337	5e-13	KIAA1109
148105	rs2290400	17q21.1	39909987	6e-13	GSDMB
148107	rs7804356	7p15.2	26852046	5e-09	SKAP2
148108	rs16956936	17p13.1	7730374	5e-07	DNAH2
148859	rs1701704	12q13.2	56018703	9e-10	IKZF4
149787	rs61839660	10p15.1	6052734	5e-09	IL2RA
149788	rs1265564	12q24.11	111270654	1e-16	CUX2
150941	rs947474	10p15.1	6348488	4e-09	LINC02649
150944	rs416603	16p13.13	11270222	3e-06	RMI2
150946	rs3087243	2q33.2	203874196	8e-11	CTLA4 - ICOS
150948	rs2292239	12q13.2	56088396	3e-16	ERBB3
150949	rs2542151	18p11.21	12779948	9e-08	LINC01882 - PTPN2
150950	rs9272346	6p21.32	32636595	6e-129	HLA-DQA1
150951	rs2165738	2p23.3	24469940	4e-06	ITSN2 - NCOA1
150952	rs12251307	10p15.1	6081532	2e-06	RPL32P23 - RBM17
151175	rs17696736	12q24.13	112049014	2e-14	NAA25
151176	rs6534347	4q27	122277280	2e-06	KIAA1109
151178	rs11171739	12q13.2	56076841	1e-11	ERBB3
151179	rs12708716	16p13.13	11086016	5e-07	CLEC16A
151180	rs11052552	12p13.31	9703362	7e-07	CLEC2D - LINC02390
151182	rs3764021	12p13.31	9681032	5e-08	CLEC2D
151183	rs17166496	5q31.1	133293192	5e-06	FSTL4
154931	rs3757247	6q15	90247744	1e-06	BACH2
154932	rs8035957	15q14	38546063	4e-06	RASGRP1
154933	rs9976767	21q22.3	42416281	2e-08	UBASH3A
154934	rs1983853	1p22.3	84845509	2e-06	LPAR3
154935	rs10758593	9p24.2	4292083	3e-06	GLIS3
157203	rs7588550	2q34	212304043	2e-07	ERBB4
157204	rs12437854	15q26.1	93598604	2e-09	
157206	rs6027506	20q13.33	60321657	5e-06	MIR646HG
157207	rs7583877	2q11.2	99844192	3e-07	AFF3
157208	rs11723864	4q34.1	173653255	7e-07	HAND2-AS1
157209	rs878889	14q22.3	56754421	8e-07	NA - OTX2
157210	rs614226	12q24.31	120536707	2e-06	RNF10
157211	rs13045180	20q11.21	32943738	9e-06	EFCAB8
157212	rs11698685	20q13.33	60320788	1e-06	MIR646HG
157213	rs4871297	8q24.13	122693916	2e-06	LINC01151
158010	rs17388568	4q27	122408207	6e-06	ADAD1
158011	rs12722495	10p15.1	6055320	1e-38	IL2RA
158015	rs3788013	21q22.3	42421219	1e-07	UBASH3A
158016	rs743777	22q12.3	37155567	2e-06	IL2RB
158018	rs2069762	4q27	122456825	5e-07	IL2 - NA
158019	rs4788084	16p11.2	28528527	1e-08	IL27 - NUPR1
158024	rs7171171	15q14	38614840	2e-07	RASGRP1 - LINC02694
158027	rs2872507	17q21.1	39884510	2e-06	ZPBP2 - GSDMB
158030	rs7528684	1q23.1	157701026	8e-09	FCRL3 - VDAC1P9
158031	rs657152	9q34.2	133263862	1e-13	ABO, ABO
158032	rs11755527	6q15	90248512	1e-06	BACH2
167931	rs559047	1q43	238590616	4e-06	KRT18P32 - NA
167935	rs9260151	6p22.1	29943253	8e-08	HLA-A, HLA-A, HLA-A, HLA-A
167936	rs61211515	6p22.1	30133199	2e-06	TRIM31-AS1 - TRIM40
167937	rs3135002	6p21.32	32700662	7e-08	HLA-DQB1 - MTCO3P1
173519	rs9810233	3q13.11	105292046	7e-07	NA - ALCAM
173520	rs836589	2q31.1	172628350	2e-06	PDK1 - RAPGEF4-AS1
173521	rs6931865	6q24.2	143758717	4e-06	PHACTR2
173522	rs950146	3p22.2	36638607	4e-06	NBPF21P - RN7SKP227
173523	rs2990510	1q31.3	197051528	6e-06	F13B
173524	rs9850225	3p12.2	80816613	5e-06	LINC02050 - NA
174348	rs478222	2p23.3	25078886	4e-09	EFR3B
174349	rs539514	13q22.2	75752146	6e-11	LMO7
174350	rs924043	6q27	170063801	8e-09	
174351	rs550448	7p15.1	28189423	5e-07	JAZF1-AS1
174352	rs12679857	8q24.12	118965098	4e-07	TNFRSF11B - RNU6-12P
174353	rs6547853	2p23.2	28423934	8e-07	FOSL2 - PLB1
174354	rs4084127	11q13.3	69781755	3e-06	FGF4 - FGF3
174355	rs10786436	10q24.2	98540425	8e-07	HPSE2
174356	rs10137082	14q11.2	23370824	6e-06	EFS - IL25
176310	rs2524054	6p21.33	31284619	6e-21	RPL3P2 - WASF5P
176707	rs1326934	10q24.1	95524324	6e-07	SORBS1
177068	rs2304256	19p13.2	10364976	4e-09	TYK2
177069	rs941576	14q32.2	100839708	1e-10	MEG3
178527	rs11725853	4q34.1	174721548	8e-07	GLRA3
178528	rs2410601	8p22	19065067	4e-06	PSD3
187190	rs17206992	2q24.1	154368670	6e-06	GALNT13
187191	rs113517532	2q31.1	176780863	2e-06	LINC01117
187192	rs73018809	3p25.1	13329174	2e-07	NUP210
187193	rs28641753	3q13.11	104256574	2e-07	
187194	rs78031527	4p16.1	6169503	5e-06	JAKMIP1, C4orf50
187195	rs143537377	5p15.2	10500534	8e-06	LINC02212
187196	rs115829748	5q13.2	72098560	1e-09	NA - MAP1B
187197	rs9354144	6q16.1	94847753	6e-06	
187198	rs571622299	8q21.11	72930288	6e-06	KCNB2
187199	rs143723948	9p13.2	37034098	6e-07	PAX5
187200	rs117826205	10p12.31	19168458	6e-06	MALRD1
187201	rs61879614	11p15.4	8058878	3e-06	TUB
187202	rs34319244	17p13.2	4424870	3e-06	UBE2G1 - SPNS3
187203	rs113114656	18q21.1	47872985	2e-06	SMAD2
187204	rs67213764	21q21.1	19974842	9e-06	LINC01683 - NA
187205	rs12482425	21q21.2	23556791	9e-06	
187206	rs373009901	22q12.1	25592812	9e-06	GRK3
187207	rs138760780	1q32.1	205515245	9e-06	CDK18
187208	rs12344245	9q21.12	69340801	9e-06	FAM189A2
190515	rs10751776	1p36.11	24970252	3e-08	RUNX3 - MIR4425
190516	rs574384	1p34.3	35622060	2e-08	PSMB2
190517	rs12742756	1p34.3	37881745	4e-08	INPP5B
190518	rs855330	1p31.3	63648218	5e-11	PGM1
190519	rs1493696	1p12	119962909	8e-09	NOTCH2
190520	rs570794153	1q31.3	198629260	4e-11	ATP6V1G3 - PTPRC
190521	rs12128789	1q32.3	212679490	4e-09	LINC02773 - BATF3
190522	rs1881146	2p24.3	12494668	5e-08	MIR3681HG
190523	rs12464462	2p16.1	60409281	9e-10	MIR4432HG
190524	rs13018977	2q37.3	241338592	2e-08	SEPTIN2
190525	rs12644686	4q35.1	184381748	2e-08	LINC02362
190526	rs114378220	5q22.1	111230662	5e-09	CAMK4
190527	rs766751473	5q31.1	132431072	1e-08	IRF1-AS1
190528	rs1050979	6p25.3	410417	6e-14	IRF4
190529	rs7805218	7p21.1	20339178	9e-09	ITGB8
190530	rs7795896	7q31.2	117446559	2e-16	CFTR
190531	rs1947178	8q12.1	58959618	2e-09	TOX
190532	rs13259300	8q24.12	119070702	3e-10	COLEC10
190533	rs3802214	8q24.3	140606084	3e-08	AGO2
190534	rs541856133	9q34.13	133060938	4e-17	GTF3C5 - CEL
190535	rs537544	10p14	8066419	9e-09	GATA3
190536	rs78325861	10q22.1	70618733	2e-11	PRF1 - ADAMTS14
190537	rs140215710	11p15.4	2881830	4e-08	KCNQ1DN - CDKN1C
190538	rs7936434	11q13.5	76582761	4e-08	EMSY - LINC02757
190539	rs607703	11q24.3	128734279	1e-10	FLI1
192572	rs111821448	3q13.2	111874722	5e-06	PHLDB2
192573	rs139881548	4p12	46372280	7e-06	GABRA2
192574	rs34740712	4q32.3	165916328	5e-06	TLL1
192575	rs4513644	5q11.2	57837318	8e-07	NA - LINC02225
192576	rs78824139	6q12	64748694	9e-06	EYS
192577	rs6461299	7p21.1	17147155	2e-06	AHR
192578	rs10255565	7p13	43408191	1e-06	HECW1
192579	rs35766765	8q24.22	132775726	3e-06	PHF20L1
192580	rs74629033	9p24.1	5421234	5e-06	PLGRKT
192581	rs10961433	9p22.3	14228472	2e-06	NFIB
192582	rs4837404	9q34.11	129743380	5e-06	PTGES
192583	rs1110458	16p12.2	22969144	8e-06	HS3ST2 - USP31
192584	rs2941522	17q12	39754115	7e-09	GRB7 - IKZF3
192585	rs10258381	7p21.3	10057028	5e-06	
194646	rs7301381	12p13.31	8971336	5e-11	KLRG1
194647	rs238265	13q14.11	42356523	2e-09	LINC02341
194648	rs4238595	16p12.3	20331769	2e-11	GP2 - UMOD
194649	rs8046043	16q23.2	80250127	2e-08	
194650	rs61759532	17p13.1	7337072	2e-10	ACAP1
194651	rs11651753	17q21.32	47951723	1e-09	PNPO - PRR15L
194652	rs57209021	17q24.2	68168777	4e-08	RDM1P3 - ARHGAP27P2
194653	rs74203920	21q22.3	44294411	2e-08	AIRE
198285	rs114631266	6p22.1	29058810	2e-06	OR2W1 - OR2P1P
198286	rs2471863	6p22.1	29931850	8e-07	HLA-K - HLA-U
198287	rs34941730	6p22.1	29946109	2e-09	HLA-A - HLA-W
198288	rs45626136	6p22.1	30345252	1e-06	RPP21, RPP21, RPP21, RPP21, RPP21, RPP21, TRIM39-RPP21
198289	rs116020851	6p21.33	30954755	3e-07	HCG21, HCG21, HCG21, HCG21, HCG21, SFTA2, SFTA2, SFTA2, SFTA2, SFTA2, SFTA2
198290	rs1265057	6p21.33	31110838	2e-06	RNU6-1133P - C6orf15
198291	rs116763857	6p21.33	31173705	1e-14	POU5F1, POU5F1
198292	rs9264758	6p21.33	31280657	3e-07	RPL3P2, RPL3P2, RPL3P2, RPL3P2, RPL3P2, RPL3P2
198293	rs9501130	6p21.33	31449679	2e-11	LINC01149 - HCP5
198294	rs3093664	6p21.33	31576865	3e-07	TNF, TNF, TNF, TNF, TNF, TNF
198295	rs3134938	6p21.32	32238711	8e-07	NOTCH4 - TSBP1-AS1
198296	rs926592	6p21.32	32337881	6e-06	TSBP1-AS1, TSBP1, TSBP1, TSBP1, TSBP1
198297	rs3135365	6p21.32	32421478	9e-06	TSBP1-AS1 - HLA-DRA
198298	rs9268576	6p21.32	32427864	2e-08	TSBP1-AS1 - HLA-DRA
198299	rs7760731	6p21.32	32615624	6e-11	HLA-DRB1 - HLA-DQA1
198300	rs9275358	6p21.32	32700118	3e-07	HLA-DQB1 - MTCO3P1
198301	rs35122968	6p21.32	32714422	4e-11	MTCO3P1 - HLA-DQB3
198302	rs3997848	6p21.32	32714617	2e-14	MTCO3P1 - HLA-DQB3
198303	rs241427	6p21.32	32836637	4e-06	TAP2, TAP2, TAP2, TAP2, TAP2, TAP2
198304	rs4148870	6p21.32	32838614	2e-06	TAP2, TAP2, TAP2, TAP2, TAP2, TAP2
198305	rs3128930	6p21.32	33107889	7e-06	COL11A2P1 - HLA-DPB2
198306	rs17407280	1p36.12	20693912	7e-06	KIF17
198307	rs10919543	1q23.3	161538827	6e-06	RPS23P10 - FCGR3A
198308	rs7524087	1q32.3	212470318	8e-06	LINC02771
198309	rs77155259	2q24.2	161647730	2e-06	SLC4A10
207551	rs4263714	7p12.1	50955790	4e-06	NA - COBL
207552	rs4929965	11p15.5	2176056	2e-31	MIR4686 - ASCL2
207553	rs72802342	16q23.1	75200974	6e-10	ZFP1 - CTRB2
207554	rs4366464	11p15.5	2143569	1e-09	IGF2-AS, INS-IGF2
207555	rs78896587	11p15.5	2055620	1e-09	H19 - IGF2
207556	rs10974438	9p24.2	4291928	1e-06	GLIS3
207557	rs2269247	1p31.3	63641613	2e-06	PGM1
207558	rs56337234	4p16.3	1782676	4e-06	TACC3 - FGFR3
214640	rs10213692	5q11.2	56146422	3e-09	ANKRD55
214641	rs9405661	6p25.3	424915	2e-09	IRF4 - EXOC2
214642	rs12665429	6q23.3	137682468	1e-13	NA - LINC02539
214643	rs212408	6q25.3	159049210	1e-15	TAGAP-AS1
214644	rs17143056	7p21.1	20557306	2e-08	NA - EEF1A1P27
214645	rs10245867	7p15.1	28102567	3e-08	JAZF1
214646	rs2250903	8p23.1	11877675	1e-10	CTSB - OR7E158P
214647	rs1405209	9q31.1	99823263	3e-08	NR4A3, STX17-AS1
214648	rs722988	10p11.22	33137219	3e-15	IATPR - NRP1
214649	rs11033048	11p13	35267496	2e-10	SLC1A2
214650	rs79538630	11q12.2	60961822	1e-09	SLC15A3 - CD6
214651	rs968567	11q12.2	61828092	8e-09	FADS1, FADS2
214652	rs645078	11q13.1	64367826	3e-09	RPS6KA4
214653	rs605093	11q24.3	128734337	4e-09	FLI1
214654	rs1805731	12p13.31	8942630	4e-08	M6PR
214655	rs7313065	12q13.13	53077434	3e-09	SPRYD3
214656	rs74537115	13q14.11	42343795	5e-09	LINC02341
214657	rs911263	14q24.1	68286876	3e-08	RAD51B
214660	rs2597169	17q21.32	47956725	3e-09	PRR15L
214661	rs56178904	21q22.3	44204668	7e-11	GATD3A
216237	rs34090353	1p22.1	92358141	1e-08	RPAP2
216238	rs2641348	1p12	119895261	2e-08	ADAM30
216239	rs2229238	1q21.3	154465420	1e-12	IL6R
216240	rs78037977	1q24.3	172746562	2e-09	FASLG - SLC25A38P1
216241	rs2816313	1q31.2	192570207	5e-09	NA - RGS1
216242	rs11120029	1q32.3	212796238	2e-08	TATDN3
216243	rs10169963	2p24.3	12512805	3e-08	MIR3681HG
216244	rs12712067	2q11.2	100147438	4e-09	AFF3
216245	rs7582694	2q32.3	191105394	3e-09	STAT4
216246	rs10933559	2q37.3	241468331	3e-11	FARP2
216247	rs113881148	4p16.3	973543	6e-09	DGKQ
216248	rs337637	4p14	38602849	3e-10	KLF3-AS1
216249	rs1876142	5p13.1	40521603	2e-14	TTC33
216250	rs2269242			5e-12	
224365	rs7937915	11p15.5	2193158	4e-79	MIR4686 - ASCL2
224392	rs4244808	11p15.5	2141880	4e-27	INS-IGF2, IGF2-AS
224393	rs7202844	16q23.1	75213493	2e-20	CTRB2 - CTRB1
224396	rs741172	16p13.13	11106941	2e-16	CLEC16A
224397	rs2542148	18p11.21	12777574	3e-16	LINC01882 - PTPN2
224398	rs984971	2q24.2	162368011	3e-14	GCA
224399	rs9981624	21q22.3	42405613	2e-12	UBASH3A
224400	rs12416116	10q23.31	88275897	7e-12	RNLS
224401	rs34593439	15q25.1	78942615	1e-11	CTSH
224402	rs72928038	6q15	90267049	1e-11	BACH2
224404	rs4336042	22q12.2	30156522	2e-11	HORMAD2
224405	rs151234	16p12.1	28494339	1e-10	CLN3
224406	rs3118470	10p15.1	6059750	1e-10	IL2RA
224407	rs3024493	1q32.1	206770623	5e-10	IL10
224408	rs74956615	19p13.2	10317045	5e-10	RAVER1
224409	rs1893592	21q22.3	42434957	2e-09	UBASH3A
224410	rs2045258	6q22.32	126353208	2e-09	CENPW - NA
224411	rs72776098	10p15.1	6074291	6e-09	RPL32P23 - RBM17
224412	rs7780389	7p12.1	50947496	6e-09	NA - COBL
224414	rs1217403	1p13.2	113846182	4e-08	PTPN22
238228	rs926169	2q33.2	203858029	9e-06	RNU6-474P - CTLA4
238229	rs9273363	6p21.32	32658495	5e-138	HLA-DQA1 - HLA-DQB1
238230	rs1578060	6q22.32	126391101	2e-06	CENPW - MIR588
238231	rs10788599	10q23.31	88428167	1e-06	RNLS
238233	rs56380902	17q21.1	39910119	1e-08	GSDMB
263575	rs55846421	14q21.3	49843683	2e-09	NEMF
264156	rs138748427	6p21.32	32516743	3e-09	HLA-DRB9 - HLA-DRB5
264157	rs3757787	7q32.1	127618330	1e-08	PAX4 - SND1
264158	rs2237897	11p15.4	2837316	2e-08	KCNQ1, KCNQ1
277278	rs13147255	4q28.1	124578751	1e-08	LINC02516 - ANKRD50
277279	rs857786	1q23.1	158815304	6e-09	OR10AA1P - MNDA
318751	rs7567242	2p16.1	60326008	4e-09	RNA5SP94 - MIR4432HG
318752	rs9273367	6p21.32	32658661	6e-306	HLA-DQA1 - HLA-DQB1
318753	rs17711850	6q15	90155151	2e-09	BACH2
318755	rs10811662	9p21.3	22134254	1e-10	CDKN2B-AS1 - DMRTA1
318756	rs7903146	10q25.2	112998590	1e-14	TCF7L2
318757	rs706779	10p15.1	6056861	3e-08	IL2RA
318758	rs3842753	11p15.5	2159830	8e-44	INS, INS-IGF2
318760	rs10876866	12q13.2	56051582	3e-08	RPS26 - ERBB3
318761	rs7167984	15q26.1	93288838	3e-08	RGMA - SEPHS1P2
320062	rs113935429	16q12.2	53788258	1e-08	FTO
320063	rs2847278	18p11.21	12778716	1e-09	LINC01882 - PTPN2
