Uploaded_variation,Location,SYMBOL,Gene,GO
rs2269241,1:63643100-63643100,PGM1,ENSG00000079739,"GO:0000287:magnesium_ion_binding,GO:0004614:phosphoglucomutase_activity,GO:0005515:protein_binding,GO:0005576:extracellular_region,GO:0005737:cytoplasm,GO:0005829:cytosol,GO:0005975:carbohydrate_metabolic_process,GO:0006006:glucose_metabolic_process,GO:0006094:gluconeogenesis,GO:0006096:glycolytic_process,GO:0016853:isomerase_activity,GO:0016868:intramolecular_transferase_activity_-_phosphotransferases,GO:0046872:metal_ion_binding,GO:0070062:extracellular_exosome,GO:0071704:organic_substance_metabolic_process,GO:1904724:tertiary_granule_lumen,GO:1904813:ficolin-1-rich_granule_lumen"
rs855330,1:63648218-63648218,PGM1,ENSG00000079739,"GO:0000287:magnesium_ion_binding,GO:0004614:phosphoglucomutase_activity,GO:0005515:protein_binding,GO:0005576:extracellular_region,GO:0005737:cytoplasm,GO:0005829:cytosol,GO:0005975:carbohydrate_metabolic_process,GO:0006006:glucose_metabolic_process,GO:0006094:gluconeogenesis,GO:0006096:glycolytic_process,GO:0016853:isomerase_activity,GO:0016868:intramolecular_transferase_activity_-_phosphotransferases,GO:0046872:metal_ion_binding,GO:0070062:extracellular_exosome,GO:0071704:organic_substance_metabolic_process,GO:1904724:tertiary_granule_lumen,GO:1904813:ficolin-1-rich_granule_lumen"
rs559043037,1:78372988-78372988,MGC27382,ENSG00000237413,-
rs1983853,1:84845509-84845509,LPAR3,ENSG00000171517,"GO:0004930:G_protein-coupled_receptor_activity,GO:0005515:protein_binding,GO:0005737:cytoplasm,GO:0005886:plasma_membrane,GO:0007165:signal_transduction,GO:0007186:G_protein-coupled_receptor_signaling_pathway,GO:0007187:G_protein-coupled_receptor_signaling_pathway_-_coupled_to_cyclic_nucleotide_second_messenger,GO:0007189:adenylate_cyclase-activating_G_protein-coupled_receptor_signaling_pathway,GO:0007204:positive_regulation_of_cytosolic_calcium_ion_concentration,GO:0007268:chemical_synaptic_transmission,GO:0008289:lipid_binding,GO:0010467:gene_expression,GO:0016020:membrane,GO:0016021:integral_component_of_membrane,GO:0019222:regulation_of_metabolic_process,GO:0030424:axon,GO:0032060:bleb_assembly,GO:0043410:positive_regulation_of_MAPK_cascade,GO:0045202:synapse,GO:0048668:collateral_sprouting,GO:0048672:positive_regulation_of_collateral_sprouting,GO:0070915:lysophosphatidic_acid_receptor_activity"
rs34090353,1:92358141-92358141,RPAP2,ENSG00000122484,"GO:0004721:phosphoprotein_phosphatase_activity,GO:0004722:protein_serine/threonine_phosphatase_activity,GO:0005515:protein_binding,GO:0005634:nucleus,GO:0005654:nucleoplasm,GO:0005730:nucleolus,GO:0005737:cytoplasm,GO:0005829:cytosol,GO:0008420:RNA_polymerase_II_CTD_heptapeptide_repeat_phosphatase_activity,GO:0009301:snRNA_transcription,GO:0016591:RNA_polymerase_II_-_holoenzyme,GO:0016787:hydrolase_activity,GO:0017018:myosin_phosphatase_activity,GO:0043175:RNA_polymerase_core_enzyme_binding,GO:0046872:metal_ion_binding,GO:0070940:dephosphorylation_of_RNA_polymerase_II_C-terminal_domain"
rs61343935,1:102495793-102495795,-,-,-
rs2153977,1:113537449-113537449,MAGI3,ENSG00000081026,"GO:0000166:nucleotide_binding,GO:0004385:guanylate_kinase_activity,GO:0005515:protein_binding,GO:0005524:ATP_binding,GO:0005634:nucleus,GO:0005737:cytoplasm,GO:0005886:plasma_membrane,GO:0005911:cell-cell_junction,GO:0005923:bicellular_tight_junction,GO:0006915:apoptotic_process,GO:0007165:signal_transduction,GO:0016020:membrane,GO:0030054:cell_junction,GO:0035556:intracellular_signal_transduction,GO:0046037:GMP_metabolic_process,GO:0046328:regulation_of_JNK_cascade,GO:0046710:GDP_metabolic_process,GO:0060090:molecular_adaptor_activity,GO:0070161:anchoring_junction"
rs6679677,1:113761186-113761186,RSBN1,ENSG00000081019,"GO:0005634:nucleus,GO:0006325:chromatin_organization,GO:0016491:oxidoreductase_activity,GO:0016570:histone_modification,GO:0035575:histone_H4-methyl-lysine-20_demethylase_activity,GO:0046872:metal_ion_binding,GO:0051213:dioxygenase_activity"
rs2476601,1:113834946-113834946,PTPN22,ENSG00000134242,"GO:0002230:positive_regulation_of_defense_response_to_virus_by_host,GO:0002685:regulation_of_leukocyte_migration,GO:0004725:protein_tyrosine_phosphatase_activity,GO:0005634:nucleus,GO:0005737:cytoplasm,GO:0006470:protein_dephosphorylation,GO:0009898:cytoplasmic_side_of_plasma_membrane,GO:0010628:positive_regulation_of_gene_expression,GO:0010629:negative_regulation_of_gene_expression,GO:0016311:dephosphorylation,GO:0016791:phosphatase_activity,GO:0017124:SH3_domain_binding,GO:0019900:kinase_binding,GO:0030217:T_cell_differentiation,GO:0032715:negative_regulation_of_interleukin-6_production,GO:0032717:negative_regulation_of_interleukin-8_production,GO:0032720:negative_regulation_of_tumor_necrosis_factor_production,GO:0032727:positive_regulation_of_interferon-alpha_production,GO:0032728:positive_regulation_of_interferon-beta_production,GO:0034141:positive_regulation_of_toll-like_receptor_3_signaling_pathway,GO:0034145:positive_regulation_of_toll-like_receptor_4_signaling_pathway,GO:0034157:positive_regulation_of_toll-like_receptor_7_signaling_pathway,GO:0034165:positive_regulation_of_toll-like_receptor_9_signaling_pathway,GO:0035644:phosphoanandamide_dephosphorylation,GO:0042307:positive_regulation_of_protein_import_into_nucleus,GO:0050730:regulation_of_peptidyl-tyrosine_phosphorylation,GO:0050852:T_cell_receptor_signaling_pathway,GO:0050856:regulation_of_T_cell_receptor_signaling_pathway,GO:0050868:negative_regulation_of_T_cell_activation,GO:0070374:positive_regulation_of_ERK1_and_ERK2_cascade,GO:0070433:negative_regulation_of_nucleotide-binding_oligomerization_domain_containing_2_signaling_pathway,GO:0071225:cellular_response_to_muramyl_dipeptide,GO:0071663:positive_regulation_of_granzyme_B_production,GO:1900227:positive_regulation_of_NLRP3_inflammasome_complex_assembly,GO:1901222:regulation_of_NIK/NF-kappaB_signaling,GO:1902523:positive_regulation_of_protein_K63-linked_ubiquitination,GO:1903169:regulation_of_calcium_ion_transmembrane_transport,GO:1903753:negative_regulation_of_p38MAPK_cascade,GO:1990782:protein_tyrosine_kinase_binding,GO:2000566:positive_regulation_of_CD8-positive_-_alpha-beta_T_cell_proliferation"
rs1217403,1:113846182-113846182,PTPN22,ENSG00000134242,"GO:0002230:positive_regulation_of_defense_response_to_virus_by_host,GO:0002685:regulation_of_leukocyte_migration,GO:0004725:protein_tyrosine_phosphatase_activity,GO:0005634:nucleus,GO:0005737:cytoplasm,GO:0006470:protein_dephosphorylation,GO:0009898:cytoplasmic_side_of_plasma_membrane,GO:0010628:positive_regulation_of_gene_expression,GO:0010629:negative_regulation_of_gene_expression,GO:0016311:dephosphorylation,GO:0016791:phosphatase_activity,GO:0017124:SH3_domain_binding,GO:0019900:kinase_binding,GO:0030217:T_cell_differentiation,GO:0032715:negative_regulation_of_interleukin-6_production,GO:0032717:negative_regulation_of_interleukin-8_production,GO:0032720:negative_regulation_of_tumor_necrosis_factor_production,GO:0032727:positive_regulation_of_interferon-alpha_production,GO:0032728:positive_regulation_of_interferon-beta_production,GO:0034141:positive_regulation_of_toll-like_receptor_3_signaling_pathway,GO:0034145:positive_regulation_of_toll-like_receptor_4_signaling_pathway,GO:0034157:positive_regulation_of_toll-like_receptor_7_signaling_pathway,GO:0034165:positive_regulation_of_toll-like_receptor_9_signaling_pathway,GO:0035644:phosphoanandamide_dephosphorylation,GO:0042307:positive_regulation_of_protein_import_into_nucleus,GO:0050730:regulation_of_peptidyl-tyrosine_phosphorylation,GO:0050852:T_cell_receptor_signaling_pathway,GO:0050856:regulation_of_T_cell_receptor_signaling_pathway,GO:0050868:negative_regulation_of_T_cell_activation,GO:0070374:positive_regulation_of_ERK1_and_ERK2_cascade,GO:0070433:negative_regulation_of_nucleotide-binding_oligomerization_domain_containing_2_signaling_pathway,GO:0071225:cellular_response_to_muramyl_dipeptide,GO:0071663:positive_regulation_of_granzyme_B_production,GO:1900227:positive_regulation_of_NLRP3_inflammasome_complex_assembly,GO:1901222:regulation_of_NIK/NF-kappaB_signaling,GO:1902523:positive_regulation_of_protein_K63-linked_ubiquitination,GO:1903169:regulation_of_calcium_ion_transmembrane_transport,GO:1903753:negative_regulation_of_p38MAPK_cascade,GO:1990782:protein_tyrosine_kinase_binding,GO:2000566:positive_regulation_of_CD8-positive_-_alpha-beta_T_cell_proliferation"
rs2358994,1:113886839-113886839,BCL2L15,ENSG00000188761,"GO:0005515:protein_binding,GO:0005634:nucleus,GO:0005829:cytosol,GO:0006915:apoptotic_process,GO:0042981:regulation_of_apoptotic_process"
rs2641348,1:119895261-119895261,ADAM30,ENSG00000134249,"GO:0004222:metalloendopeptidase_activity,GO:0005768:endosome,GO:0005886:plasma_membrane,GO:0006508:proteolysis,GO:0008233:peptidase_activity,GO:0008237:metallopeptidase_activity,GO:0008270:zinc_ion_binding,GO:0009897:external_side_of_plasma_membrane,GO:0016020:membrane,GO:0016787:hydrolase_activity,GO:0031902:late_endosome_membrane,GO:0046872:metal_ion_binding,GO:1990913:sperm_head_plasma_membrane"
rs1493696,1:119962909-119962909,NOTCH2,ENSG00000134250,"GO:0000122:negative_regulation_of_transcription_by_RNA_polymerase_II,GO:0000139:Golgi_membrane,GO:0001701:in_utero_embryonic_development,GO:0001709:cell_fate_determination,GO:0001889:liver_development,GO:0001890:placenta_development,GO:0001947:heart_looping,GO:0002011:morphogenesis_of_an_epithelial_sheet,GO:0002315:marginal_zone_B_cell_differentiation,GO:0002437:inflammatory_response_to_antigenic_stimulus,GO:0003162:atrioventricular_node_development,GO:0003184:pulmonary_valve_morphogenesis,GO:0005509:calcium_ion_binding,GO:0005515:protein_binding,GO:0005576:extracellular_region,GO:0005634:nucleus,GO:0005654:nucleoplasm,GO:0005737:cytoplasm,GO:0005789:endoplasmic_reticulum_membrane,GO:0005886:plasma_membrane,GO:0005929:cilium,GO:0006355:regulation_of_DNA-templated_transcription,GO:0006357:regulation_of_transcription_by_RNA_polymerase_II,GO:0006915:apoptotic_process,GO:0006959:humoral_immune_response,GO:0007219:Notch_signaling_pathway,GO:0007275:multicellular_organism_development,GO:0007368:determination_of_left/right_symmetry,GO:0007399:nervous_system_development,GO:0007411:axon_guidance,GO:0008283:cell_population_proliferation,GO:0008284:positive_regulation_of_cell_population_proliferation,GO:0009887:animal_organ_morphogenesis,GO:0009986:cell_surface,GO:0010629:negative_regulation_of_gene_expression,GO:0010838:positive_regulation_of_keratinocyte_proliferation,GO:0016020:membrane,GO:0016021:integral_component_of_membrane,GO:0019899:enzyme_binding,GO:0030097:hemopoiesis,GO:0030154:cell_differentiation,GO:0030326:embryonic_limb_morphogenesis,GO:0030509:BMP_signaling_pathway,GO:0030513:positive_regulation_of_BMP_signaling_pathway,GO:0035264:multicellular_organism_growth,GO:0035622:intrahepatic_bile_duct_development,GO:0038023:signaling_receptor_activity,GO:0042060:wound_healing,GO:0042742:defense_response_to_bacterium,GO:0043011:myeloid_dendritic_cell_differentiation,GO:0043065:positive_regulation_of_apoptotic_process,GO:0043066:negative_regulation_of_apoptotic_process,GO:0043235:receptor_complex,GO:0045672:positive_regulation_of_osteoclast_differentiation,GO:0046579:positive_regulation_of_Ras_protein_signal_transduction,GO:0046849:bone_remodeling,GO:0050793:regulation_of_developmental_process,GO:0051059:NF-kappaB_binding,GO:0060413:atrial_septum_morphogenesis,GO:0060674:placenta_blood_vessel_development,GO:0061073:ciliary_body_morphogenesis,GO:0061314:Notch_signaling_involved_in_heart_development,GO:0070374:positive_regulation_of_ERK1_and_ERK2_cascade,GO:0070986:left/right_axis_specification,GO:0071228:cellular_response_to_tumor_cell,GO:0072014:proximal_tubule_development,GO:0072015:podocyte_development,GO:0072104:glomerular_capillary_formation,GO:0072574:hepatocyte_proliferation,GO:0072576:liver_morphogenesis,GO:1990705:cholangiocyte_proliferation,GO:2000249:regulation_of_actin_cytoskeleton_reorganization,GO:2001204:regulation_of_osteoclast_development"
rs998500,1:151853237-151853237,THEM5,ENSG00000196407,"GO:0005515:protein_binding,GO:0005739:mitochondrion,GO:0005759:mitochondrial_matrix,GO:0006629:lipid_metabolic_process,GO:0006631:fatty_acid_metabolic_process,GO:0016290:palmitoyl-CoA_hydrolase_activity,GO:0016787:hydrolase_activity,GO:0035336:long-chain_fatty-acyl-CoA_metabolic_process,GO:0035965:cardiolipin_acyl-chain_remodeling,GO:0102991:myristoyl-CoA_hydrolase_activity"
rs2229238,1:154465420-154465420,IL6R,ENSG00000160712,"GO:0002384:hepatic_immune_response,GO:0002446:neutrophil_mediated_immunity,GO:0002548:monocyte_chemotaxis,GO:0002690:positive_regulation_of_leukocyte_chemotaxis,GO:0004896:cytokine_receptor_activity,GO:0004897:ciliary_neurotrophic_factor_receptor_activity,GO:0004915:interleukin-6_receptor_activity,GO:0004921:interleukin-11_receptor_activity,GO:0005138:interleukin-6_receptor_binding,GO:0005515:protein_binding,GO:0005576:extracellular_region,GO:0005615:extracellular_space,GO:0005886:plasma_membrane,GO:0005896:interleukin-6_receptor_complex,GO:0006953:acute-phase_response,GO:0008284:positive_regulation_of_cell_population_proliferation,GO:0009897:external_side_of_plasma_membrane,GO:0010033:response_to_organic_substance,GO:0010536:positive_regulation_of_activation_of_Janus_kinase_activity,GO:0010573:vascular_endothelial_growth_factor_production,GO:0016020:membrane,GO:0016324:apical_plasma_membrane,GO:0019221:cytokine-mediated_signaling_pathway,GO:0019899:enzyme_binding,GO:0019955:cytokine_binding,GO:0019970:interleukin-11_binding,GO:0019981:interleukin-6_binding,GO:0031018:endocrine_pancreas_development,GO:0032717:negative_regulation_of_interleukin-8_production,GO:0032722:positive_regulation_of_chemokine_production,GO:0032755:positive_regulation_of_interleukin-6_production,GO:0034097:response_to_cytokine,GO:0038154:interleukin-11-mediated_signaling_pathway,GO:0042531:positive_regulation_of_tyrosine_phosphorylation_of_STAT_protein,GO:0042803:protein_homodimerization_activity,GO:0043235:receptor_complex,GO:0045669:positive_regulation_of_osteoblast_differentiation,GO:0048661:positive_regulation_of_smooth_muscle_cell_proliferation,GO:0050731:positive_regulation_of_peptidyl-tyrosine_phosphorylation,GO:0050829:defense_response_to_Gram-negative_bacterium,GO:0050830:defense_response_to_Gram-positive_bacterium,GO:0070102:interleukin-6-mediated_signaling_pathway,GO:0070110:ciliary_neurotrophic_factor_receptor_complex,GO:0070119:ciliary_neurotrophic_factor_binding,GO:0070120:ciliary_neurotrophic_factor-mediated_signaling_pathway,GO:0072126:positive_regulation_of_glomerular_mesangial_cell_proliferation,GO:0072540:T-helper_17_cell_lineage_commitment,GO:0097191:extrinsic_apoptotic_signaling_pathway"
rs7528684,1:157701026-157701026,FCRL3,ENSG00000160856,"GO:0002638:negative_regulation_of_immunoglobulin_production,GO:0004888:transmembrane_signaling_receptor_activity,GO:0005886:plasma_membrane,GO:0007166:cell_surface_receptor_signaling_pathway,GO:0009986:cell_surface,GO:0016020:membrane,GO:0019900:kinase_binding,GO:0019902:phosphatase_binding,GO:0019903:protein_phosphatase_binding,GO:0030890:positive_regulation_of_B_cell_proliferation,GO:0034163:regulation_of_toll-like_receptor_9_signaling_pathway,GO:0043410:positive_regulation_of_MAPK_cascade,GO:0045577:regulation_of_B_cell_differentiation,GO:0050859:negative_regulation_of_B_cell_receptor_signaling_pathway,GO:0050864:regulation_of_B_cell_activation,GO:0090279:regulation_of_calcium_ion_import,GO:1905184:positive_regulation_of_protein_serine/threonine_phosphatase_activity,GO:1990782:protein_tyrosine_kinase_binding"
rs857786,1:158815304-158815304,-,-,-
rs10919543,1:161538827-161538827,FCGR3A,ENSG00000203747,"GO:0001788:antibody-dependent_cellular_cytotoxicity,GO:0002376:immune_system_process,GO:0004888:transmembrane_signaling_receptor_activity,GO:0005515:protein_binding,GO:0005576:extracellular_region,GO:0005615:extracellular_space,GO:0005886:plasma_membrane,GO:0006955:immune_response,GO:0007166:cell_surface_receptor_signaling_pathway,GO:0009897:external_side_of_plasma_membrane,GO:0014065:phosphatidylinositol_3-kinase_signaling,GO:0016020:membrane,GO:0019722:calcium-mediated_signaling,GO:0019772:low-affinity_IgG_receptor_activity,GO:0019864:IgG_binding,GO:0030101:natural_killer_cell_activation,GO:0032760:positive_regulation_of_tumor_necrosis_factor_production,GO:0032819:positive_regulation_of_natural_killer_cell_proliferation,GO:0033001:Fc-gamma_receptor_III_complex,GO:0038094:Fc-gamma_receptor_signaling_pathway,GO:0042116:macrophage_activation,GO:0042267:natural_killer_cell_mediated_cytotoxicity,GO:0043320:natural_killer_cell_degranulation,GO:0050776:regulation_of_immune_response,GO:0070062:extracellular_exosome,GO:0140375:immune_receptor_activity"
rs78037977,1:172746562-172746562,SLC25A38P1,ENSG00000229785,-
