	rsid	region	chr_pos	chr_id	p_value	mapped_gene	-logp	cumulative_pos
121	rs2069762	4q27	122456825	4	5e-07	IL2 - NA	14.508657738524219	1800776405
122	rs78031527	4p16.1	6169503	4	5e-06	JAKMIP1, C4orf50	12.206072645530174	1684489083
123	rs75793288	4q27	122322441	4	6e-13	KIAA1109	28.14184673969454	1800642021
124	rs2611215	4q32.3	165653115	4	2e-11	NA - LINC01179	24.635288842374557	1843972695
125	rs139881548	4p12	46372280	4	7e-06	GABRA2	11.86960040890896	1724691860
126	rs34740712	4q32.3	165916328	4	5e-06	TLL1	12.206072645530174	1844235908
127	rs12644686	4q35.1	184381748	4	2e-08	LINC02362	17.72753356339242	1862701328
128	rs113881148	4p16.3	973543	4	6e-09	DGKQ	18.931506367718356	1679293123
129	rs337637	4p14	38602849	4	3e-10	KLF3-AS1	21.927238641272346	1716922429
130	rs13147255	4q28.1	124578751	4	1e-08	LINC02516 - ANKRD50	18.420680743952367	1802898331
131	rs146172950		105683278	4	2e-08		17.72753356339242	1784002858
132	rs186775995		24259293	4	4e-08		17.034386382832476	1702578873
133	rs34459306		92954497	4	4e-08		17.034386382832476	1771274077
134	rs28720060		137228466	4	1e-08		18.420680743952367	1815548046
135	rs1445898	5p13.2	35910427	5	8e-06	CAPSL	11.736069016284437	1898611755
136	rs6897932	5p13.2	35874473	5	8e-06	IL7R	11.736069016284437	1898575801
137	rs574480779	5q33.2	155011321	5	9e-07	MRPL22 - KIF4B	13.9208710736221	2017712649
138	rs143537377	5p15.2	10500534	5	8e-06	LINC02212	11.736069016284437	1873201862
139	rs115829748	5q13.2	72098560	5	1e-09	NA - MAP1B	20.72326583694641	1934799888
140	rs11954020	5p13.2	35883149	5	4e-08	IL7R - CAPSL	17.034386382832476	1898584477
141	rs4513644	5q11.2	57837318	5	8e-07	NA - LINC02225	14.038654109278484	1920538646
142	rs114378220	5q22.1	111230662	5	5e-09	CAMK4	19.11382792451231	1973931990
143	rs766751473	5q31.1	132431072	5	1e-08	IRF1-AS1	18.420680743952367	1995132400
144	rs1876142	5p13.1	40521603	5	2e-14	TTC33	31.543044121356694	1903222931
145	rs10213692	5q11.2	56146422	5	3e-09	ANKRD55	19.624653548278303	1918847750
146	rs11959635		6893947	5	8e-07		14.038654109278484	1869595275
147	rs4704666		80384899	5	5e-08		16.811242831518264	1943086227
148	rs75205348		81431680	5	3e-10		21.927238641272346	1944133008
149	rs9260151	6p22.1	29943253	6	8e-08	HLA-A	16.34123920227253	2047655902
150	rs61211515	6p22.1	30133199	6	2e-06	TRIM31-AS1 - TRIM40	13.122363377404328	2047845848
151	rs3135002	6p21.32	32700662	6	7e-08	HLA-DQB1 - MTCO3P1	16.474770594897052	2050413311
152	rs6931865	6q24.2	143758717	6	4e-06	PHACTR2	12.429216196844383	2161471366
153	rs924043	6q27	170063801	6	8e-09		18.643824295266576	2187776450
154	rs2524054	6p21.33	31284619	6	6.0000000000000006e-21	RPL3P2 - WASF5P	46.5625274836469	2048997268
155	rs2523989	6p22.1	30110498	6	2e-08	TRIM31, TRIM31-AS1	17.72753356339242	2047823147
156	rs886424	6p21.33	30814225	6	3e-14	LINC00243	31.13757901324853	2048526874
157	rs2251396	6p21.33	31396930	6	1e-22	HLA-S - MICA	50.65687204586901	2049109579
158	rs2857595	6p21.33	31600692	6	2e-23	NCR3 - UQCRHP1	52.266309958303104	2049313341
159	rs1270942	6p21.33	31951083	6	5e-25	CFB	55.95518941241704	2049663732
160	rs1980493	6p21.32	32395438	6	2e-20	TSBP1-AS1, BTNL2	45.35855467932097	2050108087
161	rs1015166	6p21.32	32830954	6	4e-22	TAP2	49.270577684749114	2050543603
162	rs9272346	6p21.32	32636595	6	6.000000000000001e-129	HLA-DQA1	295.24171752700386	2050349244
163	rs2647044	6p21.32	32700133	6	1e-16	HLA-DQB1 - MTCO3P1	36.841361487904734	2050412782
164	rs3757247	6q15	90247744	6	1e-06	BACH2	13.815510557964274	2107960393
165	rs9388489	6q22.32	126377573	6	4e-13	CENPW - NA	28.547311847802703	2144090222
166	rs9268645	6p21.32	32440750	6	1e-100	HLA-DRA	230.25850929940458	2050153399
167	rs11755527	6q15	90248512	6	1e-06	BACH2	13.815510557964274	2107961161
168	rs73043122	6q27	166969779	6	4e-06	RNASET2 - MIR3939	12.429216196844383	2184682428
169	rs138181578	6p21.1	45758094	6	7e-07	RUNX2 - NA	14.172185501903007	2063470743
170	rs9354144	6q16.1	94847753	6	6e-06		12.02375108873622	2112560402
171	rs72928038	6q15	90267049	6	6e-14	BACH2	30.444431832688586	2107979698
172	rs1538171	6q22.32	126431738	6	7e-10	CENPW - MIR588	21.079940780885142	2144144387
173	rs114631266	6p22.1	29058810	6	2e-06	OR2W1 - OR2P1P	13.122363377404328	2046771459
174	rs2471863	6p22.1	29931850	6	8e-07	HLA-K - HLA-U	14.038654109278484	2047644499
175	rs34941730	6p22.1	29946109	6	2e-09	HLA-A - HLA-W	20.030118656386467	2047658758
176	rs45626136	6p22.1	30345252	6	1e-06	RPP21, TRIM39-RPP21	13.815510557964274	2048057901
177	rs116020851	6p21.33	30954755	6	3e-07	HCG21, SFTA2	15.01948336229021	2048667404
178	rs1265057	6p21.33	31110838	6	2e-06	RNU6-1133P - C6orf15	13.122363377404328	2048823487
179	rs116763857	6p21.33	31173705	6	1e-14	POU5F1	32.23619130191664	2048886354
180	rs9264758	6p21.33	31280657	6	3e-07	RPL3P2	15.01948336229021	2048993306
181	rs9501130	6p21.33	31449679	6	2e-11	LINC01149 - HCP5	24.635288842374557	2049162328
182	rs3093664	6p21.33	31576865	6	3e-07	TNF	15.01948336229021	2049289514
183	rs3134938	6p21.32	32238711	6	8e-07	NOTCH4 - TSBP1-AS1	14.038654109278484	2049951360
184	rs926592	6p21.32	32337881	6	6e-06	TSBP1-AS1, TSBP1	12.02375108873622	2050050530
185	rs3135365	6p21.32	32421478	6	9e-06	TSBP1-AS1 - HLA-DRA	11.618285980628055	2050134127
186	rs9268576	6p21.32	32427864	6	2e-08	TSBP1-AS1 - HLA-DRA	17.72753356339242	2050140513
187	rs7760731	6p21.32	32615624	6	6e-11	HLA-DRB1 - HLA-DQA1	23.536676553706446	2050328273
188	rs9275358	6p21.32	32700118	6	3e-07	HLA-DQB1 - MTCO3P1	15.01948336229021	2050412767
189	rs35122968	6p21.32	32714422	6	4e-11	MTCO3P1 - HLA-DQB3	23.942141661814613	2050427071
190	rs3997848	6p21.32	32714617	6	2e-14	MTCO3P1 - HLA-DQB3	31.543044121356694	2050427266
191	rs241427	6p21.32	32836637	6	4e-06	TAP2	12.429216196844383	2050549286
192	rs4148870	6p21.32	32838614	6	2e-06	TAP2	13.122363377404328	2050551263
193	rs3128930	6p21.32	33107889	6	7e-06	COL11A2P1 - HLA-DPB2	11.86960040890896	2050820538
194	rs78824139	6q12	64748694	6	9e-06	EYS	11.618285980628055	2082461343
195	rs1050979	6p25.3	410417	6	6e-14	IRF4	30.444431832688586	2018123066
196	rs9405661	6p25.3	424915	6	2e-09	IRF4 - EXOC2	20.030118656386467	2018137564
197	rs12665429	6q23.3	137682468	6	1e-13	NA - LINC02539	29.933606208922594	2155395117
198	rs212408	6q25.3	159049210	6	1e-15	TAGAP-AS1	34.538776394910684	2176761859
199	rs567939777		46032617	6	9e-06		11.618285980628055	2063745266
200	rs541715332		8311442	6	6e-09		18.931506367718356	2026024091
201	rs71549272		32535377	6	2e-306		703.897891275618	2050248026
202	rs56098412		32911694	6	6e-63		143.27110138939682	2050624343
203	rs3130614		31508681	6	3e-80		183.10819515085555	2049221330
204	rs3132450		31628361	6	2.9999999999999996e-89		203.83146098780196	2049341010
205	rs376621269		31799896	6	2e-90		206.53951118890416	2049512545
206	rs1150752		32096949	6	1e-90		207.2326583694641	2049809598
207	rs558702		31902549	6	9e-92		209.640603978116	2049615198
208	rs1257631742		32809144	6	9e-89		202.73284869913385	2050521793
209	rs1265757		32334605	6	4e-102		233.47738512427276	2050047254
210	rs3130297		32231204	6	4e-106		242.68772549624896	2049943853
211	rs9269032		32469977	6	4e-108		247.29289568223703	2050182626
212	rs1794282		32698749	6	7.000000000000001e-110		251.3384500802897	2050411398
213	rs71557351		26835246	6	5e-11		23.7189981105004	2044547895
214	rs13207365		27063201	6	3e-96		219.94955663876027	2044775850
215	rs4713614		33160210	6	2e-151		346.99720186154093	2050872859
216	rs116418977		25365660	6	5e-41		92.79655090032178	2043078309
217	rs28746946		32684938	6	0.0		inf	2050397587
218	rs6930376		31275040	6	2e-286		657.8461894157372	2048987689
219	rs430133		29683408	6	2e-60		137.4619583990828	2047396057
220	rs9260324		29949300	6	2e-44		100.62059691117807	2047661949
221	rs1425018091		26732200	6	2e-28		63.779235423273335	2044444849
222	rs68006638		25710343	6	7e-23		51.013546989807736	2043422992
223	rs1462821813		30964532	6	2e-202		464.4290416042373	2048677181
224	rs35789010		25513951	6	2.9999999999999994e-23		51.860844850194944	2043226600
225	rs1170010108		27883876	6	2e-102		234.1705323048327	2045596525
226	rs13201341		25822433	6	1.0000000000000001e-71		163.48354160257725	2043535082
227	rs3884025		25929860	6	7.000000000000001e-73		166.14280163951003	2043642509
228	rs6904596		27523520	6	2e-96		220.35502174686843	2045236169
229	rs34888489		26073147	6	9e-24		53.06481765452088	2043785796
230	rs34961555		26199675	6	3e-79		180.8056100578615	2043912324
231	rs35768595		27174125	6	9.000000000000001e-87		198.12767851314575	2044886774
232	rs35715914		27624224	6	4e-90		205.8463640083442	2045336873
233	rs13220522		26316067	6	3e-83		190.0159504298377	2044028716
234	rs13191786		28309894	6	2.9999999999999998e-92		210.7392162667841	2046022543
235	rs13195401		26463346	6	6e-87		198.5331436212539	2044175995
236	rs71206067		26935600	6	1e-31		71.38013788281542	2044648249
237	rs13202295		27731058	6	5.999999999999999e-91		207.74348399323011	2045443707
238	rs13198716		26581807	6	1e-31		71.38013788281542	2044294456
239	rs398110012		28429899	6	8e-94		214.36355719976046	2046142548
240	rs71559067		28026638	6	2.9999999999999996e-94		215.3443864527722	2045739287
241	rs35044849		28699892	6	3e-96		219.94955663876027	2046412541
242	rs13217984		28171932	6	7e-95		216.79967368537902	2045884581
243	rs3130831		29215110	6	9e-99		225.7586996290743	2046927759
244	rs866264659		29100913	6	4e-99		226.56962984529062	2046813562
245	rs9258375		29785031	6	4.9999999999999994e-42		95.09913599331581	2047497680
246	rs413670		29558785	6	7e-108		246.73327989430163	2047271434
247	rs8321		30064745	6	2e-113		259.4989683277672	2047777394
248	rs3131071		28939145	6	7.000000000000001e-43		97.06524884968866	2046651794
249	rs3131337		28828294	6	4e-117		268.01616151918347	2046540943
250	rs2517609		30202510	6	4e-125		286.4368422631358	2047915159
251	rs9257809		29388554	6	6e-45		101.824569715504	2047101203
252	rs1222508183		30569095	6	4.0000000000000006e-132		302.5549379140941	2048281744
253	rs9262143		30685004	6	2e-133		305.5506701876481	2048397653
254	rs3819720		32836793	6	9.000000000000001e-273		626.4085058100383	2050549442
255	rs3094053		30387407	6	2e-151		346.99720186154093	2048100056
256	rs1405122185		30801949	6	1.0000000000000001e-271		624.0005602013864	2048514598
257	rs2523466		31395249	6	3e-279		641.3226286566706	2049107898
258	rs2516491		31517324	6	0.0		inf	2049229973
259	rs3094669		31135418	6	2e-219		503.57298818513607	2048848067
260	rs11229		31635993	6	1.0000000000000001e-302		695.3806980842018	2049348642
261	rs1150757		32061428	6	6.999999999999999e-285		654.2908413542477	2049774077
262	rs869165433		32234432	6	1e-305		702.288453363184	2049947081
263	rs116647495		33647094	6	4e-08		17.034386382832476	2051359743
264	rs150420498		33489728	6	2e-108		247.98604286279698	2051202377
265	rs115337486		33387741	6	2e-108		247.98604286279698	2051100390
266	rs3806155		32405601	6	4e-308		707.8099142810462	2050118250
267	rs62425513		127756593	6	4e-08		17.034386382832476	2145469242
268	rs72887765		33301993	6	3e-09		19.624653548278303	2051014642
269	rs113196564		33464895	6	3e-10		21.927238641272346	2051177544
270	rs35477995		32596935	6	3e-28		63.37377031516517	2050309584
271	rs2855448		33168798	6	3e-16		35.74274919923662	2050881447
272	rs62392365		25371141	6	1e-09		20.72326583694641	2043083790
273	rs34676049		28485841	6	4e-39		88.41452426564788	2046198490
274	rs13198809		28355925	6	4e-39		88.41452426564788	2046068574
275	rs3117342		29238474	6	6e-43		97.21939952951591	2046951123
276	rs35243068		28705657	6	4e-41		93.01969445163598	2046418306
277	rs1259270189		29051468	6	2.9999999999999996e-42		95.60996161708181	2046764117
278	rs1233488		29499942	6	2e-43		98.31801181818402	2047212591
279	rs3094067		30331468	6	2.0000000000000002e-47		107.5283521901602	2048044117
280	rs3132645		30441472	6	1e-52		119.73442483569038	2048154121
281	rs1970		30157766	6	1e-51		117.43183974269633	2047870415
282	rs3130658		30733315	6	7.0000000000000005e-56		126.99885505861124	2048445964
283	rs3132610		30576624	6	1.0000000000000001e-57		131.2473503006606	2048289273
284	rs2517578		30843488	6	2e-62		142.0671285850709	2048556137
285	rs1632863		31000992	6	2.0000000000000003e-64		146.672298771059	2048713641
286	rs1793894		31229085	6	2e-75		172.00073479399347	2048941734
287	rs3130985		31117579	6	6e-72		163.99436722634323	2048830228
288	rs1451199489		31348918	6	9e-76		172.79924249021124	2049061567
289	rs55834529		27104763	6	7.000000000000001e-32		71.73681282675415	2044817412
290	rs888169813		27559448	6	2e-34		77.59474598123761	2045272097
291	rs34196306		27457865	6	2e-32		72.98957579524952	2045170514
292	rs72839445		27281907	6	7e-33		74.0393979197482	2044994556
293	rs34788973		27911422	6	2e-35		79.89733107423166	2045624071
294	rs35952432		28107123	6	5e-36		81.28362543535154	2045819772
295	rs13205211		28235278	6	5.0000000000000005e-37		83.58621052834559	2045947927
296	rs3115631		30018547	6	2.9999999999999996e-42		95.60996161708181	2047731196
297	rs3131856		29639324	6	3.9999999999999995e-42		95.32227954463004	2047351973
298	rs17214290		33020111	6	1e-12		27.631021115928547	2050732760
299	rs13211947		25864590	6	2e-22		49.96372486530906	2043577239
300	rs55706012		26266083	6	8e-27		60.0903559691594	2043978732
301	rs35927079		27700521	6	4e-33		74.59901370768361	2045413170
302	rs75782365		26408323	6	4e-31		69.99384352169552	2044120972
303	rs13195728		27803328	6	6e-34		76.4961336925695	2045515977
304	rs550448	7p15.1	28189423	7	5e-07	JAZF1-AS1	14.508657738524219	2215965873
305	rs4948088	7p12.1	50959497	7	4e-08	NA - COBL	17.034386382832476	2238735947
306	rs7804356	7p15.2	26852046	7	5e-09	SKAP2	19.11382792451231	2214628496
307	rs62447205	7p12.2	50398132	7	3e-08	IKZF1	17.322068455284256	2238174582
308	rs10277986	7p12.1	50961290	7	1e-07	NA - COBL	16.11809565095832	2238737740
309	rs6461299	7p21.1	17147155	7	2e-06	AHR	13.122363377404328	2204923605
310	rs10255565	7p13	43408191	7	1e-06	HECW1	13.815510557964274	2231184641
311	rs10258381	7p21.3	10057028	7	5e-06		12.206072645530174	2197833478
312	rs7805218	7p21.1	20339178	7	9e-09	ITGB8	18.526041259610192	2208115628
313	rs7795896	7q31.2	117446559	7	2e-16	CFTR	36.14821430734479	2305223009
314	rs17143056	7p21.1	20557306	7	2e-08	NA - EEF1A1P27	17.72753356339242	2208333756
315	rs10245867	7p15.1	28102567	7	3e-08	JAZF1	17.322068455284256	2215879017
316	rs534191848		48863732	7	5e-08		16.811242831518264	2236640182
317	rs148505224		117532167	7	2e-08		17.72753356339242	2305308617
318	rs62489382		129949957	7	5e-12		26.021583203494448	2317726407
319	rs62461371		44959149	7	1e-10		23.025850929940457	2232735599
320	rs77768351		129944187	7	8e-09		18.643824295266576	2317720637
321	rs12679857	8q24.12	118965098	8	4e-07	TNFRSF11B - RNU6-12P	14.73180128983843	2436691505
322	rs2410601	8p22	19065067	8	4e-06	PSD3	12.429216196844383	2336791474
323	rs4871297	8q24.13	122693916	8	2e-06	LINC01151	13.122363377404328	2440420323
324	rs571622299	8q21.11	72930288	8	6e-06	KCNB2	12.02375108873622	2390656695
325	rs35766765	8q24.22	132775726	8	3e-06	PHF20L1	12.716898269296165	2450502133
326	rs1947178	8q12.1	58959618	8	2e-09	TOX	20.030118656386467	2376686025
327	rs13259300	8q24.12	119070702	8	3e-10	COLEC10	21.927238641272346	2436797109
328	rs3802214	8q24.3	140606084	8	3e-08	AGO2	17.322068455284256	2458332491
329	rs2250903	8p23.1	11877675	8	1e-10	CTSB - OR7E158P	23.025850929940457	2329604082
330	rs188998530		20451062	8	8e-09		18.643824295266576	2338177469
331	rs575681391		76353999	8	4e-06		12.429216196844383	2394080406
332	rs1586135813		56693303	8	3e-08		17.322068455284256	2374419710
333	rs10758593	9p24.2	4292083	9	3e-06	GLIS3	12.716898269296165	2462624574
334	rs7020673	9p24.2	4291747	9	5e-12	GLIS3	26.021583203494448	2462624238
335	rs657152	9q34.2	133263862	9	1e-13	ABO, ABO	29.933606208922594	2591596353
336	rs1970112	9p21.3	22085599	9	1e-08	CDKN2B-AS1	18.420680743952367	2480418090
337	rs143723948	9p13.2	37034098	9	6e-07	PAX5	14.326336181730264	2495366589
338	rs12344245	9q21.12	69340801	9	9e-06	FAM189A2	11.618285980628055	2527673292
339	rs6476839	9p24.2	4290823	9	1e-09	GLIS3	20.72326583694641	2462623314
340	rs74629033	9p24.1	5421234	9	5e-06	PLGRKT	12.206072645530174	2463753725
341	rs10961433	9p22.3	14228472	9	2e-06	NFIB	13.122363377404328	2472560963
342	rs4837404	9q34.11	129743380	9	5e-06	PTGES	12.206072645530174	2588075871
343	rs541856133	9q34.13	133060938	9	4e-17	GTF3C5 - CEL	37.75765221977888	2591393429
344	rs1405209	9q31.1	99823263	9	3e-08	NR4A3, STX17-AS1	17.322068455284256	2558155754
345	rs224009		20324372	9	3e-09		19.624653548278303	2478656863
346	rs1396962964		5703334	9	5e-08		16.811242831518264	2464035825
347	rs72739842		71822481	9	5e-08		16.811242831518264	2530154972
348	rs10786436	10q24.2	98540425	10	8e-07	HPSE2	14.038654109278484	337131041
