rsid	go	term
rs1983853	GO:0010467	gene expression
rs1983853	GO:0016021	integral component of membrane
rs1983853	GO:0019222	regulation of metabolic process
rs1983853	GO:0030424	axon
rs1983853	GO:0032060	bleb assembly
rs1983853	GO:0043410	positive regulation of MAPK cascade
rs1983853	GO:0045202	synapse
rs1983853	GO:0048668	collateral sprouting
rs1983853	GO:0048672	positive regulation of collateral sprouting
rs1983853	GO:0070915	lysophosphatidic acid receptor activity
rs34090353	GO:0004721	phosphoprotein phosphatase activity
rs34090353	GO:0004722	protein serine/threonine phosphatase activity
rs34090353	GO:0005730	nucleolus
rs34090353	GO:0008420	RNA polymerase II CTD heptapeptide repeat phosphatase activity
rs34090353	GO:0009301	snRNA transcription
rs34090353	GO:0016591	RNA polymerase II - holoenzyme
rs34090353	GO:0017018	myosin phosphatase activity
rs34090353	GO:0043175	RNA polymerase core enzyme binding
rs34090353	GO:0070940	dephosphorylation of RNA polymerase II C-terminal domain
rs2153977	GO:0004385	guanylate kinase activity
rs2153977	GO:0005911	cell-cell junction
rs2153977	GO:0005923	bicellular tight junction
rs2153977	GO:0006915	apoptotic process
rs2153977	GO:0030054	cell junction
rs2153977	GO:0035556	intracellular signal transduction
rs2153977	GO:0046037	GMP metabolic process
rs2153977	GO:0046328	regulation of JNK cascade
rs2153977	GO:0046710	GDP metabolic process
rs2153977	GO:0060090	molecular adaptor activity
rs2153977	GO:0070161	anchoring junction
rs6679677	GO:0006325	chromatin organization
rs6679677	GO:0016491	oxidoreductase activity
rs6679677	GO:0016570	histone modification
rs6679677	GO:0035575	histone H4-methyl-lysine-20 demethylase activity
rs6679677	GO:0051213	dioxygenase activity
rs2476601	GO:0002230	positive regulation of defense response to virus by host
rs2476601	GO:0002685	regulation of leukocyte migration
rs2476601	GO:0004725	protein tyrosine phosphatase activity
rs2476601	GO:0006470	protein dephosphorylation
rs2476601	GO:0009898	cytoplasmic side of plasma membrane
rs2476601	GO:0010628	positive regulation of gene expression
rs2476601	GO:0010629	negative regulation of gene expression
rs2476601	GO:0016311	dephosphorylation
rs2476601	GO:0017124	SH3 domain binding
rs2476601	GO:0019900	kinase binding
rs2476601	GO:0030217	T cell differentiation
rs2476601	GO:0032715	negative regulation of interleukin-6 production
rs2476601	GO:0032717	negative regulation of interleukin-8 production
rs2476601	GO:0032720	negative regulation of tumor necrosis factor production
rs2476601	GO:0032727	positive regulation of interferon-alpha production
rs2476601	GO:0032728	positive regulation of interferon-beta production
rs2476601	GO:0034141	positive regulation of toll-like receptor 3 signaling pathway
rs2476601	GO:0034145	positive regulation of toll-like receptor 4 signaling pathway
rs2476601	GO:0034157	positive regulation of toll-like receptor 7 signaling pathway
rs2476601	GO:0034165	positive regulation of toll-like receptor 9 signaling pathway
rs2476601	GO:0035644	phosphoanandamide dephosphorylation
rs2476601	GO:0042307	positive regulation of protein import into nucleus
rs2476601	GO:0050730	regulation of peptidyl-tyrosine phosphorylation
rs2476601	GO:0050852	T cell receptor signaling pathway
rs2476601	GO:0050856	regulation of T cell receptor signaling pathway
rs2476601	GO:0050868	negative regulation of T cell activation
rs2476601	GO:0070374	positive regulation of ERK1 and ERK2 cascade
rs2476601	GO:0070433	negative regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway
rs2476601	GO:0071225	cellular response to muramyl dipeptide
rs2476601	GO:0071663	positive regulation of granzyme B production
rs2476601	GO:1900227	positive regulation of NLRP3 inflammasome complex assembly
rs2476601	GO:1901222	regulation of NIK/NF-kappaB signaling
rs2476601	GO:1902523	positive regulation of protein K63-linked ubiquitination
rs2476601	GO:1903169	regulation of calcium ion transmembrane transport
rs2476601	GO:1903753	negative regulation of p38MAPK cascade
rs2476601	GO:1990782	protein tyrosine kinase binding
rs2476601	GO:2000566	positive regulation of CD8-positive - alpha-beta T cell proliferation
rs2358994	GO:0042981	regulation of apoptotic process
rs2641348	GO:0004222	metalloendopeptidase activity
rs2641348	GO:0006508	proteolysis
rs2641348	GO:0008233	peptidase activity
rs2641348	GO:0008237	metallopeptidase activity
rs2641348	GO:0008270	zinc ion binding
rs2641348	GO:0009897	external side of plasma membrane
rs2641348	GO:0031902	late endosome membrane
rs2641348	GO:1990913	sperm head plasma membrane
rs1493696	GO:0000122	negative regulation of transcription by RNA polymerase II
rs1493696	GO:0000139	Golgi membrane
rs1493696	GO:0001709	cell fate determination
rs1493696	GO:0001889	liver development
rs1493696	GO:0001890	placenta development
rs1493696	GO:0001947	heart looping
rs1493696	GO:0002011	morphogenesis of an epithelial sheet
rs1493696	GO:0002315	marginal zone B cell differentiation
rs1493696	GO:0002437	inflammatory response to antigenic stimulus
rs1493696	GO:0003162	atrioventricular node development
rs1493696	GO:0003184	pulmonary valve morphogenesis
rs1493696	GO:0005509	calcium ion binding
rs1493696	GO:0005789	endoplasmic reticulum membrane
rs1493696	GO:0006355	regulation of DNA-templated transcription
rs1493696	GO:0006959	humoral immune response
rs1493696	GO:0007219	Notch signaling pathway
rs1493696	GO:0007275	multicellular organism development
rs1493696	GO:0007368	determination of left/right symmetry
rs1493696	GO:0007399	nervous system development
rs1493696	GO:0007411	axon guidance
rs1493696	GO:0008283	cell population proliferation
rs1493696	GO:0008284	positive regulation of cell population proliferation
rs1493696	GO:0009887	animal organ morphogenesis
rs1493696	GO:0009986	cell surface
rs1493696	GO:0010838	positive regulation of keratinocyte proliferation
rs1493696	GO:0019899	enzyme binding
rs1493696	GO:0030097	hemopoiesis
rs1493696	GO:0030154	cell differentiation
rs1493696	GO:0030326	embryonic limb morphogenesis
rs1493696	GO:0030509	BMP signaling pathway
rs1493696	GO:0030513	positive regulation of BMP signaling pathway
rs1493696	GO:0035264	multicellular organism growth
rs1493696	GO:0035622	intrahepatic bile duct development
rs1493696	GO:0038023	signaling receptor activity
rs1493696	GO:0042060	wound healing
rs1493696	GO:0042742	defense response to bacterium
rs1493696	GO:0043011	myeloid dendritic cell differentiation
rs1493696	GO:0043065	positive regulation of apoptotic process
rs1493696	GO:0043066	negative regulation of apoptotic process
rs1493696	GO:0043235	receptor complex
rs1493696	GO:0045672	positive regulation of osteoclast differentiation
rs1493696	GO:0046579	positive regulation of Ras protein signal transduction
rs1493696	GO:0046849	bone remodeling
rs1493696	GO:0050793	regulation of developmental process
rs1493696	GO:0051059	NF-kappaB binding
rs1493696	GO:0060413	atrial septum morphogenesis
rs1493696	GO:0060674	placenta blood vessel development
rs1493696	GO:0061073	ciliary body morphogenesis
rs1493696	GO:0061314	Notch signaling involved in heart development
rs1493696	GO:0070986	left/right axis specification
rs1493696	GO:0071228	cellular response to tumor cell
rs1493696	GO:0072014	proximal tubule development
rs1493696	GO:0072015	podocyte development
rs1493696	GO:0072104	glomerular capillary formation
rs1493696	GO:0072574	hepatocyte proliferation
rs1493696	GO:0072576	liver morphogenesis
rs1493696	GO:1990705	cholangiocyte proliferation
rs1493696	GO:2000249	regulation of actin cytoskeleton reorganization
rs1493696	GO:2001204	regulation of osteoclast development
rs998500	GO:0005739	mitochondrion
rs998500	GO:0005759	mitochondrial matrix
rs998500	GO:0006631	fatty acid metabolic process
rs998500	GO:0016290	palmitoyl-CoA hydrolase activity
rs998500	GO:0035336	long-chain fatty-acyl-CoA metabolic process
rs998500	GO:0035965	cardiolipin acyl-chain remodeling
rs998500	GO:0102991	myristoyl-CoA hydrolase activity
rs2229238	GO:0002384	hepatic immune response
rs2229238	GO:0002446	neutrophil mediated immunity
rs2229238	GO:0002548	monocyte chemotaxis
rs2229238	GO:0002690	positive regulation of leukocyte chemotaxis
rs2229238	GO:0004896	cytokine receptor activity
rs2229238	GO:0004897	ciliary neurotrophic factor receptor activity
rs2229238	GO:0004915	interleukin-6 receptor activity
rs2229238	GO:0004921	interleukin-11 receptor activity
rs2229238	GO:0005138	interleukin-6 receptor binding
rs2229238	GO:0005615	extracellular space
rs2229238	GO:0005896	interleukin-6 receptor complex
rs2229238	GO:0006953	acute-phase response
rs2229238	GO:0010033	response to organic substance
rs2229238	GO:0010536	positive regulation of activation of Janus kinase activity
rs2229238	GO:0010573	vascular endothelial growth factor production
rs2229238	GO:0016324	apical plasma membrane
rs2229238	GO:0019221	cytokine-mediated signaling pathway
rs2229238	GO:0019955	cytokine binding
rs2229238	GO:0019970	interleukin-11 binding
rs2229238	GO:0019981	interleukin-6 binding
rs2229238	GO:0031018	endocrine pancreas development
rs2229238	GO:0032722	positive regulation of chemokine production
rs2229238	GO:0032755	positive regulation of interleukin-6 production
rs2229238	GO:0034097	response to cytokine
rs2229238	GO:0038154	interleukin-11-mediated signaling pathway
rs2229238	GO:0042531	positive regulation of tyrosine phosphorylation of STAT protein
rs2229238	GO:0042803	protein homodimerization activity
rs2229238	GO:0045669	positive regulation of osteoblast differentiation
rs2229238	GO:0048661	positive regulation of smooth muscle cell proliferation
rs2229238	GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation
rs2229238	GO:0050829	defense response to Gram-negative bacterium
rs2229238	GO:0050830	defense response to Gram-positive bacterium
rs2229238	GO:0070102	interleukin-6-mediated signaling pathway
rs2229238	GO:0070110	ciliary neurotrophic factor receptor complex
rs2229238	GO:0070119	ciliary neurotrophic factor binding
rs2229238	GO:0070120	ciliary neurotrophic factor-mediated signaling pathway
rs2229238	GO:0072126	positive regulation of glomerular mesangial cell proliferation
rs2229238	GO:0072540	T-helper 17 cell lineage commitment
rs2229238	GO:0097191	extrinsic apoptotic signaling pathway
rs7528684	GO:0002638	negative regulation of immunoglobulin production
rs7528684	GO:0004888	transmembrane signaling receptor activity
rs7528684	GO:0007166	cell surface receptor signaling pathway
rs7528684	GO:0019902	phosphatase binding
rs7528684	GO:0019903	protein phosphatase binding
rs7528684	GO:0030890	positive regulation of B cell proliferation
rs7528684	GO:0034163	regulation of toll-like receptor 9 signaling pathway
rs7528684	GO:0045577	regulation of B cell differentiation
rs7528684	GO:0050859	negative regulation of B cell receptor signaling pathway
rs7528684	GO:0050864	regulation of B cell activation
rs7528684	GO:0090279	regulation of calcium ion import
rs7528684	GO:1905184	positive regulation of protein serine/threonine phosphatase activity
rs10919543	GO:0001788	antibody-dependent cellular cytotoxicity
rs10919543	GO:0002376	immune system process
rs10919543	GO:0006955	immune response
rs10919543	GO:0014065	phosphatidylinositol 3-kinase signaling
rs10919543	GO:0019722	calcium-mediated signaling
rs10919543	GO:0019772	low-affinity IgG receptor activity
rs10919543	GO:0019864	IgG binding
rs10919543	GO:0030101	natural killer cell activation
rs10919543	GO:0032760	positive regulation of tumor necrosis factor production
rs10919543	GO:0032819	positive regulation of natural killer cell proliferation
rs10919543	GO:0033001	Fc-gamma receptor III complex
rs10919543	GO:0038094	Fc-gamma receptor signaling pathway
rs10919543	GO:0042116	macrophage activation
rs10919543	GO:0042267	natural killer cell mediated cytotoxicity
rs10919543	GO:0043320	natural killer cell degranulation
rs10919543	GO:0050776	regulation of immune response
rs10919543	GO:0140375	immune receptor activity
rs114721354	GO:0000380	alternative mRNA splicing - via spliceosome
rs114721354	GO:0000993	RNA polymerase II complex binding
rs114721354	GO:0001069	regulatory region RNA binding
rs114721354	GO:0001649	osteoblast differentiation
rs114721354	GO:0003676	nucleic acid binding
rs114721354	GO:0003678	DNA helicase activity
rs114721354	GO:0003688	DNA replication origin binding
rs114721354	GO:0003690	double-stranded DNA binding
rs114721354	GO:0003697	single-stranded DNA binding
rs114721354	GO:0003712	transcription coregulator activity
rs114721354	GO:0003713	transcription coactivator activity
rs114721354	GO:0003723	RNA binding
rs114721354	GO:0003724	RNA helicase activity
rs114721354	GO:0003725	double-stranded RNA binding
rs114721354	GO:0003727	single-stranded RNA binding
rs114721354	GO:0003729	mRNA binding
rs114721354	GO:0004386	helicase activity
rs114721354	GO:0005726	perichromatin fibrils
rs114721354	GO:0005813	centrosome
rs114721354	GO:0005844	polysome
rs114721354	GO:0006260	DNA replication
rs114721354	GO:0006353	DNA-templated transcription termination
rs114721354	GO:0006397	mRNA processing
rs114721354	GO:0006417	regulation of translation
rs114721354	GO:0006954	inflammatory response
rs114721354	GO:0008380	RNA splicing
rs114721354	GO:0010501	RNA secondary structure unwinding
rs114721354	GO:0015629	actin cytoskeleton
rs114721354	GO:0016442	RISC complex
rs114721354	GO:0016604	nuclear body
rs114721354	GO:0017111	ribonucleoside triphosphate phosphatase activity
rs114721354	GO:0031047	gene silencing by RNA
rs114721354	GO:0031490	chromatin DNA binding
rs114721354	GO:0032508	DNA duplex unwinding
rs114721354	GO:0032741	positive regulation of interleukin-18 production
rs114721354	GO:0032991	protein-containing complex
rs114721354	GO:0033679	3'-5' DNA/RNA helicase activity
rs114721354	GO:0034458	3'-5' RNA helicase activity
rs114721354	GO:0035197	siRNA binding
rs114721354	GO:0035613	RNA stem-loop binding
rs114721354	GO:0036464	cytoplasmic ribonucleoprotein granule
rs114721354	GO:0039695	DNA-templated viral transcription
rs114721354	GO:0042788	polysomal ribosome
rs114721354	GO:0043138	3'-5' DNA helicase activity
rs114721354	GO:0044806	G-quadruplex DNA unwinding
rs114721354	GO:0045087	innate immune response
rs114721354	GO:0045089	positive regulation of innate immune response
rs114721354	GO:0045142	triplex DNA binding
rs114721354	GO:0045739	positive regulation of DNA repair
rs114721354	GO:0045740	positive regulation of DNA replication
rs114721354	GO:0046833	positive regulation of RNA export from nucleus
rs114721354	GO:0047429	nucleoside triphosphate diphosphatase activity
rs114721354	GO:0048146	positive regulation of fibroblast proliferation
rs114721354	GO:0048511	rhythmic process
rs114721354	GO:0050434	positive regulation of viral transcription
rs114721354	GO:0050684	regulation of mRNA processing
rs114721354	GO:0050691	regulation of defense response to virus by host
rs114721354	GO:0050729	positive regulation of inflammatory response
rs114721354	GO:0051028	mRNA transport
rs114721354	GO:0051092	positive regulation of NF-kappaB transcription factor activity
rs114721354	GO:0060760	positive regulation of response to cytokine stimulus
rs114721354	GO:0061629	RNA polymerase II-specific DNA-binding transcription factor binding
rs114721354	GO:0061676	importin-alpha family protein binding
rs114721354	GO:0065003	protein-containing complex assembly
rs114721354	GO:0070063	RNA polymerase binding
rs114721354	GO:0070269	pyroptosis
rs114721354	GO:0070578	RISC-loading complex
rs114721354	GO:0070922	RISC complex assembly
rs114721354	GO:0070934	CRD-mediated mRNA stabilization
rs114721354	GO:0070937	CRD-mediated mRNA stability complex
rs114721354	GO:0071356	cellular response to tumor necrosis factor
rs114721354	GO:0071360	cellular response to exogenous dsRNA
rs114721354	GO:0097165	nuclear stress granule
rs114721354	GO:0098795	global gene silencing by mRNA cleavage
rs114721354	GO:1900152	negative regulation of nuclear-transcribed mRNA catabolic process - deadenylation-dependent decay
rs114721354	GO:1903608	protein localization to cytoplasmic stress granule
rs114721354	GO:1904973	positive regulation of viral translation
rs114721354	GO:1905172	RISC complex binding
rs114721354	GO:1905538	polysome binding
rs114721354	GO:1905698	positive regulation of polysome binding
rs114721354	GO:1990518	single-stranded 3'-5' DNA helicase activity
rs114721354	GO:1990825	sequence-specific mRNA binding
rs114721354	GO:1990841	promoter-specific chromatin binding
rs114721354	GO:1990904	ribonucleoprotein complex
rs114721354	GO:2000373	positive regulation of DNA topoisomerase (ATP-hydrolyzing) activity
rs114721354	GO:2000637	positive regulation of miRNA-mediated gene silencing
rs114721354	GO:2000765	regulation of cytoplasmic translation
rs114721354	GO:2000767	positive regulation of cytoplasmic translation
rs2990510	GO:0007596	blood coagulation
rs2990510	GO:0007599	hemostasis
rs2990510	GO:0018149	peptide cross-linking
rs2990510	GO:0072378	blood coagulation - fibrin clot formation
rs2990510	GO:1990234	transferase complex
rs6691977	GO:0000226	microtubule cytoskeleton organization
rs6691977	GO:0005516	calmodulin binding
rs6691977	GO:0007026	negative regulation of microtubule depolymerization
rs6691977	GO:0030507	spectrin binding
rs6691977	GO:0031113	regulation of microtubule polymerization
rs6691977	GO:0031122	cytoplasmic microtubule organization
rs6691977	GO:0031175	neuron projection development
rs6691977	GO:0033043	regulation of organelle organization
rs6691977	GO:0036449	microtubule minus-end
rs6691977	GO:0050773	regulation of dendrite development
rs6691977	GO:0051011	microtubule minus-end binding
rs6691977	GO:0061564	axon development
rs6691977	GO:1903358	regulation of Golgi organization
rs6691977	GO:1990752	microtubule end
rs138760780	GO:0000083	regulation of transcription involved in G1/S transition of mitotic cell cycle
rs138760780	GO:0004672	protein kinase activity
rs138760780	GO:0004674	protein serine/threonine kinase activity
rs138760780	GO:0004693	cyclin-dependent protein serine/threonine kinase activity
rs138760780	GO:0005575	cellular component
rs138760780	GO:0006468	protein phosphorylation
rs138760780	GO:0016301	kinase activity
rs138760780	GO:0016310	phosphorylation
rs138760780	GO:0016740	transferase activity
rs138760780	GO:0051726	regulation of cell cycle
rs138760780	GO:0106310	protein serine kinase activity
rs3024505	GO:0001817	regulation of cytokine production
rs3024505	GO:0001818	negative regulation of cytokine production
rs3024505	GO:0001819	positive regulation of cytokine production
rs3024505	GO:0001938	positive regulation of endothelial cell proliferation
rs3024505	GO:0002237	response to molecule of bacterial origin
rs3024505	GO:0002439	chronic inflammatory response to antigenic stimulus
rs3024505	GO:0002639	positive regulation of immunoglobulin production
rs3024505	GO:0002719	negative regulation of cytokine production involved in immune response
rs3024505	GO:0002875	negative regulation of chronic inflammatory response to antigenic stimulus
rs3024505	GO:0002904	positive regulation of B cell apoptotic process
rs3024505	GO:0005125	cytokine activity
rs3024505	GO:0005141	interleukin-10 receptor binding
rs3024505	GO:0007253	cytoplasmic sequestering of NF-kappaB
rs3024505	GO:0007568	aging
rs3024505	GO:0008083	growth factor activity
rs3024505	GO:0008285	negative regulation of cell population proliferation
rs3024505	GO:0009410	response to xenobiotic stimulus
rs3024505	GO:0010468	regulation of gene expression
rs3024505	GO:0010507	negative regulation of autophagy
rs3024505	GO:0014823	response to activity
rs3024505	GO:0014854	response to inactivity
rs3024505	GO:0030183	B cell differentiation
rs3024505	GO:0030595	leukocyte chemotaxis
rs3024505	GO:0030886	negative regulation of myeloid dendritic cell activation
rs3024505	GO:0030889	negative regulation of B cell proliferation
rs3024505	GO:0032496	response to lipopolysaccharide
rs3024505	GO:0032687	negative regulation of interferon-alpha production
rs3024505	GO:0032689	negative regulation of interferon-gamma production
rs3024505	GO:0032692	negative regulation of interleukin-1 production
rs3024505	GO:0032695	negative regulation of interleukin-12 production
rs3024505	GO:0032701	negative regulation of interleukin-18 production
rs3024505	GO:0032868	response to insulin
rs3024505	GO:0034115	negative regulation of heterotypic cell-cell adhesion
rs3024505	GO:0034116	positive regulation of heterotypic cell-cell adhesion
rs3024505	GO:0034465	response to carbon monoxide
rs3024505	GO:0035729	cellular response to hepatocyte growth factor stimulus
rs3024505	GO:0042092	type 2 immune response
rs3024505	GO:0042100	B cell proliferation
rs3024505	GO:0042130	negative regulation of T cell proliferation
rs3024505	GO:0042832	defense response to protozoan
rs3024505	GO:0043032	positive regulation of macrophage activation
rs3024505	GO:0043524	negative regulation of neuron apoptotic process
rs3024505	GO:0045019	negative regulation of nitric oxide biosynthetic process
rs3024505	GO:0045191	regulation of isotype switching
rs3024505	GO:0045347	negative regulation of MHC class II biosynthetic process
rs3024505	GO:0045348	positive regulation of MHC class II biosynthetic process
rs3024505	GO:0045787	positive regulation of cell cycle
rs3024505	GO:0045930	negative regulation of mitotic cell cycle
rs3024505	GO:0046427	positive regulation of receptor signaling pathway via JAK-STAT
rs3024505	GO:0046983	protein dimerization activity
rs3024505	GO:0050728	negative regulation of inflammatory response
rs3024505	GO:0050807	regulation of synapse organization
rs3024505	GO:0051045	negative regulation of membrane protein ectodomain proteolysis
rs3024505	GO:0051091	positive regulation of DNA-binding transcription factor activity
rs3024505	GO:0051384	response to glucocorticoid
rs3024505	GO:0051930	regulation of sensory perception of pain
rs3024505	GO:0060302	negative regulation of cytokine activity
rs3024505	GO:0060670	branching involved in labyrinthine layer morphogenesis
rs3024505	GO:0071222	cellular response to lipopolysaccharide
rs3024505	GO:0071392	cellular response to estradiol stimulus
rs3024505	GO:0071650	negative regulation of chemokine (C-C motif) ligand 5 production
rs3024505	GO:0072577	endothelial cell apoptotic process
rs3024505	GO:0097421	liver regeneration
rs3024505	GO:1900100	positive regulation of plasma cell differentiation
rs3024505	GO:1902895	positive regulation of miRNA transcription
rs3024505	GO:1903034	regulation of response to wounding
rs3024505	GO:1903208	negative regulation of hydrogen peroxide-induced neuron death
rs3024505	GO:1903672	positive regulation of sprouting angiogenesis
rs3024505	GO:1904057	negative regulation of sensory perception of pain
rs3024505	GO:1904706	negative regulation of vascular associated smooth muscle cell proliferation
rs3024505	GO:1904707	positive regulation of vascular associated smooth muscle cell proliferation
rs3024505	GO:2000273	positive regulation of signaling receptor activity
rs3024505	GO:2000352	negative regulation of endothelial cell apoptotic process
rs11120029	GO:0000070	mitotic sister chromatid segregation
rs11120029	GO:0000444	MIS12/MIND type complex
rs11120029	GO:0000775	chromosome - centromeric region
rs11120029	GO:0000776	kinetochore
rs11120029	GO:0005694	chromosome
rs11120029	GO:0007049	cell cycle
rs11120029	GO:0007059	chromosome segregation
rs11120029	GO:0016607	nuclear speck
rs11120029	GO:0051301	cell division
rs61839660	GO:0002664	regulation of T cell tolerance induction
rs61839660	GO:0004911	interleukin-2 receptor activity
rs61839660	GO:0005893	interleukin-2 receptor complex
rs61839660	GO:0006924	activation-induced cell death of T cells
rs61839660	GO:0019976	interleukin-2 binding
rs61839660	GO:0038110	interleukin-2-mediated signaling pathway
rs61839660	GO:0042102	positive regulation of T cell proliferation
rs61839660	GO:0042104	positive regulation of activated T cell proliferation
rs61839660	GO:0043029	T cell homeostasis
rs61839660	GO:0045582	positive regulation of T cell differentiation
rs61839660	GO:0046013	regulation of T cell homeostatic proliferation
rs61839660	GO:0046651	lymphocyte proliferation
rs61839660	GO:0050672	negative regulation of lymphocyte proliferation
rs61839660	GO:0050798	activated T cell proliferation
rs61839660	GO:2000561	regulation of CD4-positive - alpha-beta T cell proliferation
rs41295121	GO:0000398	mRNA splicing - via spliceosome
rs41295121	GO:0005681	spliceosomal complex
rs41295121	GO:0045292	mRNA cis splicing - via spliceosome
rs11258747	GO:0001558	regulation of cell growth
rs11258747	GO:0001772	immunological synapse
rs11258747	GO:0004697	protein kinase C activity
rs11258747	GO:0004698	calcium-dependent protein kinase C activity
rs11258747	GO:0006509	membrane protein ectodomain proteolysis
rs11258747	GO:0016235	aggresome
rs11258747	GO:0018105	peptidyl-serine phosphorylation
rs11258747	GO:0032212	positive regulation of telomere maintenance via telomerase
rs11258747	GO:0032740	positive regulation of interleukin-17 production
rs11258747	GO:0032743	positive regulation of interleukin-2 production
